"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","85",".eq() - get a DOM element at a specific index","Traversal","2026-03-14","passed","2026-03-14","","","",""
"","161","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-03-14","passed","2026-03-14","","","",""
"","95","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-03-14","passed","2026-03-14","","","",""
"","78",".prevAll() - get all previous sibling DOM elements","Traversal","2026-03-14","passed","2026-03-14","","","",""
"","281","cy.fixture() - load a fixture","Files","2026-03-14","passed","2026-03-14","","","",""
"","72","assert - assert shape of an object","Assertions","2026-03-14","passed","2026-03-14","","Explicit Assertions","",""
"","87","cy.wrap() - wrap an object","Misc","2026-03-14","passed","2026-03-14","","","",""
"","316","cy.request() - pass result to the second request","Network Requests","2026-03-14","passed","2026-03-14","","","",""
"","79",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-03-14","passed","2026-03-14","","","",""
"","72","Get current spec information","Cypress APIs","2026-03-14","passed","2026-03-14","","Cypress.spec","",""
"","89","cy.readFile() - read file contents","Files","2026-03-14","passed","2026-03-14","","","",""
"","77",".spread() - spread an array as individual args to callback function","Connectors","2026-03-14","passed","2026-03-14","","","",""
"","167","can check off an item as completed","example to-do app","2026-03-14","passed","2026-03-14","","","",""
"","275","Cypress._ - call a lodash method","Utilities","2026-03-14","passed","2026-03-14","","","",""
"","261","can filter for completed tasks","example to-do app","2026-03-14","passed","2026-03-14","","with a checked task","",""
"","140",".trigger() - trigger an event on a DOM element","Actions","2026-03-14","passed","2026-03-14","","","",""
"","558",".clear() - clears an input or textarea element","Actions","2026-03-14","passed","2026-03-14","","","",""
"","73","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-03-14","passed","2026-03-14","","Cypress.Screenshot","",""
"","205","cy.get() - query DOM elements","Querying","2026-03-14","passed","2026-03-14","","","",""
"","129",".scrollIntoView() - scroll an element into view","Actions","2026-03-14","passed","2026-03-14","","","",""
"","87","Get environment variables","Cypress APIs","2026-03-14","passed","2026-03-14","","Cypress.env()","",""
"","90","cy.setCookie() - set a browser cookie","Cookies","2026-03-14","passed","2026-03-14","","","",""
"","145","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-03-14","passed","2026-03-14","","","",""
"","1076","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-03-14","passed","2026-03-14","","","",""
"","188","Cypress.$ - call a jQuery method","Utilities","2026-03-14","passed","2026-03-14","","","",""
"","29","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-03-14","passed","2026-03-14","","","",""
"","161","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-03-14","passed","2026-03-14","","","",""
"","260","cy.getCookie() - get a browser cookie","Cookies","2026-03-14","passed","2026-03-14","","","",""
"","484","cy.request() - make an XHR request","Network Requests","2026-03-14","passed","2026-03-14","","","",""
"","71",".parent() - get parent DOM element from DOM elements","Traversal","2026-03-14","passed","2026-03-14","","","",""
"","24","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-03-14","passed","2026-03-14","","","",""
"","88","cy.title() - get the title","Window","2026-03-14","passed","2026-03-14","","","",""
"","161","cy.window() - get the global window object","Window","2026-03-14","passed","2026-03-14","","","",""
"","69","Control what is printed to the Command Log","Cypress APIs","2026-03-14","passed","2026-03-14","","Cypress.log","",""
"","83","can throw any error","Assertions","2026-03-14","passed","2026-03-14","","Explicit Assertions","",""
"","496","cy.intercept() - route responses to matching requests","Network Requests","2026-03-14","passed","2026-03-14","","","",""
"","80",".next() - get next sibling DOM element","Traversal","2026-03-14","passed","2026-03-14","","","",""
"","264","cy.focused() - get the DOM element that has focus","Misc","2026-03-14","passed","2026-03-14","","","",""
"","71",".parents() - get parent DOM elements from DOM elements","Traversal","2026-03-14","passed","2026-03-14","","","",""
"","589","best practices - selecting elements","Querying","2026-03-14","passed","2026-03-14","","","",""
"","70",".not() - remove DOM elements from set of DOM elements","Traversal","2026-03-14","passed","2026-03-14","","","",""
"","159","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-03-14","passed","2026-03-14","","","",""
"","187",".rightclick() - right click on a DOM element","Actions","2026-03-14","passed","2026-03-14","","","",""
"","1297","cy.exec() - execute a system command","Misc","2026-03-14","passed","2026-03-14","","","",""
"","76",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-03-14","passed","2026-03-14","","Cypress.dom","",""
"","87",".invoke() - invoke a function on the current subject","Connectors","2026-03-14","passed","2026-03-14","","","",""
"","73","yields the value yielded by the last Cypress command inside","Connectors","2026-03-14","passed","2026-03-14","",".then()","",""
"","84","expect - make an assertion about a specified subject","Assertions","2026-03-14","passed","2026-03-14","","Explicit Assertions","",""
"","854",".select() - select an option in a <select> element","Actions","2026-03-14","passed","2026-03-14","","","",""
"","87","Get CPU architecture name of underlying OS","Cypress APIs","2026-03-14","passed","2026-03-14","","Cypress.arch","",""
"","75","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-03-14","passed","2026-03-14","","","",""
"","72",".prev() - get previous sibling DOM element","Traversal","2026-03-14","passed","2026-03-14","","","",""
"","91",".and() - chain multiple assertions together","Assertions","2026-03-14","passed","2026-03-14","","Implicit Assertions","",""
"","175",".each() - iterate over an array of elements","Connectors","2026-03-14","passed","2026-03-14","","","",""
"","79",".siblings() - get all sibling DOM elements","Traversal","2026-03-14","passed","2026-03-14","","","",""
"","2758","cy.viewport() - set the viewport size and dimension","Viewport","2026-03-14","passed","2026-03-14","","","",""
"","228",".should() - make an assertion about the current subject","Assertions","2026-03-14","passed","2026-03-14","","Implicit Assertions","",""
"","97",".debug() - enable or disable debugging","Cypress APIs","2026-03-14","passed","2026-03-14","","Cypress.Cookies","",""
"","78","cy.root() - query the root DOM element","Querying","2026-03-14","passed","2026-03-14","","","",""
"","185",".dblclick() - double click on a DOM element","Actions","2026-03-14","passed","2026-03-14","","","",""
"","821",".check() - check a checkbox or radio element","Actions","2026-03-14","passed","2026-03-14","","","",""
